,bank,year,segments_count
0,NCB,2015,16889
0,NCB,2014,15408
0,NCB,2016,14511
0,NCB,2013,12994
0,NCB,2012,17885
0,NCB,2020,19989
0,NCB,2021,23374
0,NCB,2022,16358
0,NCB,2018,12051
