,bank,year,segments_count
0,BaoVietBank,2015,21684
0,BaoVietBank,2014,35741
0,BaoVietBank,2016,18950
0,BaoVietBank,2017,42063
0,BaoVietBank,2012,36140
0,BaoVietBank,2020,12687
0,BaoVietBank,2018,21038
