,bank,year,segments_count
0,TCB,2015,42365
0,TCB,2014,46825
0,TCB,2016,47065
0,TCB,2017,62244
0,TCB,2013,46082
0,TCB,2012,43921
0,TCB,2020,62624
0,TCB,2021,67442
0,TCB,2022,75769
0,TCB,2019,57388
0,TCB,2018,55163
