,bank,year,segments_count
0,BAB-BacABank,2015,37381
0,BAB-BacABank,2014,37622
0,BAB-BacABank,2016,32469
0,BAB-BacABank,2017,14396
0,BAB-BacABank,2013,38480
0,BAB-BacABank,2012,23813
0,BAB-BacABank,2020,24424
0,BAB-BacABank,2021,15277
0,BAB-BacABank,2022,16162
0,BAB-BacABank,2019,26967
0,BAB-BacABank,2018,22806
