,bank,year,segments_count
0,MB bank,2015,49681
0,MB bank,2014,48117
0,MB bank,2016,46887
0,MB bank,2017,48787
0,MB bank,2013,20893
0,MB bank,2012,25884
0,MB bank,2020,49838
0,MB bank,2021,68303
0,MB bank,2022,82772
0,MB bank,2019,51499
0,MB bank,2018,44908
