,bank,year,segments_count
0,Agribank,2015,11932
0,Agribank,2014,19085
0,Agribank,2016,12211
0,Agribank,2017,15340
0,Agribank,2013,9354
0,Agribank,2012,53102
0,Agribank,2020,21020
0,Agribank,2021,17624
0,Agribank,2022,25708
0,Agribank,2019,23129
0,Agribank,2018,19743
