,bank,year,segments_count
0,Eximbank,2015,55036
0,Eximbank,2014,30238
0,Eximbank,2016,50392
0,Eximbank,2017,49610
0,Eximbank,2013,32445
0,Eximbank,2020,122377
0,Eximbank,2021,112513
0,Eximbank,2022,225991
0,Eximbank,2019,112974
0,Eximbank,2018,51063
