,bank,year,segments_count
0,MSB Bank,2015,34915
0,MSB Bank,2014,31733
0,MSB Bank,2016,13201
0,MSB Bank,2017,31301
0,MSB Bank,2013,44276
0,MSB Bank,2012,37383
0,MSB Bank,2020,51661
0,MSB Bank,2021,33305
0,MSB Bank,2022,80408
0,MSB Bank,2019,41105
0,MSB Bank,2018,35258
