,bank,year,segments_count
0,BIDV,2015,51120
0,BIDV,2014,38497
0,BIDV,2016,50873
0,BIDV,2017,46888
0,BIDV,2013,36062
0,BIDV,2012,32703
0,BIDV,2020,53901
0,BIDV,2021,59208
0,BIDV,2022,70235
0,BIDV,2019,94268
0,BIDV,2018,44781
