,bank,year,segments_count
0,VCB,2015,49315
0,VCB,2014,47426
0,VCB,2016,48797
0,VCB,2017,50660
0,VCB,2013,46048
0,VCB,2012,40180
0,VCB,2020,54365
0,VCB,2021,54390
0,VCB,2022,65902
0,VCB,2019,51376
0,VCB,2018,52829
