,bank,year,segments_count
0,LPB-LienvietPost,2017,11395
0,LPB-LienvietPost,2013,20814
0,LPB-LienvietPost,2012,9503
0,LPB-LienvietPost,2020,39992
0,LPB-LienvietPost,2021,44190
0,LPB-LienvietPost,2022,52575
