,bank,year,segments_count
0,TPB,2015,16749
0,TPB,2014,18097
0,TPB,2016,37683
0,TPB,2017,38678
0,TPB,2013,15401
0,TPB,2020,32227
0,TPB,2021,21445
0,TPB,2022,34860
0,TPB,2019,22330
0,TPB,2018,44256
