,bank,year,keyword,segment,count
0,VBB-VietBank,2020,Ngân hàng trực tuyến,Online banking,0
0,VBB-VietBank,2020,Online banking,Online banking,0
0,VBB-VietBank,2020,ngân hàng di động,Mobile banking,0
0,VBB-VietBank,2020,Ngân hàng trên điện thoại di động,Mobile banking,0
0,VBB-VietBank,2020,SHB Mobile,Mobile banking,0
0,VBB-VietBank,2020,Mobile banking,Mobile banking,1
0,VBB-VietBank,2020,E-Mobile,Mobile banking,0
0,VBB-VietBank,2020,One Time Password,Mobile banking,0
0,VBB-VietBank,2020,OTP,Mobile banking,0
0,VBB-VietBank,2020,Ebanking,Internet banking,2
0,VBB-VietBank,2020,Internet banking,Internet banking,2
0,VBB-VietBank,2020,SHB Mobile Banking,Bank app,0
0,VBB-VietBank,2020,ứng dụng di động,Bank app,0
0,VBB-VietBank,2020,ứng dụng ngân hàng số,Bank app,0
0,VBB-VietBank,2020,ứng dụng trên điện thoại,Bank app,0
0,VBB-VietBank,2020,ACB ONE,Bank app,0
0,VBB-VietBank,2020,VPBank NEO,Bank app,0
0,VBB-VietBank,2020,MyVIB,Bank app,0
0,VBB-VietBank,2020,HDBank,Bank app,0
0,VBB-VietBank,2020,BIDV Smart Banking,Bank app,0
0,VBB-VietBank,2020,MB Bank,Bank app,0
0,VBB-VietBank,2020,Vietinbank iPay,Bank app,0
0,VBB-VietBank,2020,TPBank Mobile,Bank app,0
0,VBB-VietBank,2020,Agribank E-Mobile Banking,Bank app,0
0,VBB-VietBank,2020,MSB mBank,Bank app,0
0,VBB-VietBank,2020,Eximbank EDigi,Bank app,0
0,VBB-VietBank,2020,Sacombank Pay,Bank app,0
0,VBB-VietBank,2020,SCB Mobile Banking,Bank app,0
0,VBB-VietBank,2020,BAOVIET Smart,Bank app,0
0,VBB-VietBank,2020,BAC A BANK Mobile Banking,Bank app,0
0,VBB-VietBank,2020,NCB iziMobile,Bank app,0
0,VBB-VietBank,2020,Liên Việt 24h,Bank app,0
0,VBB-VietBank,2022,Nền tảng công nghệ,Nền tảng,0
0,VBB-VietBank,2022,Nền tảng số,Nền tảng,0
0,VBB-VietBank,2022,Hạ tầng công nghệ,Nền tảng,1
0,VBB-VietBank,2022,Công nghệ thông tin,Công nghệ,5
0,VBB-VietBank,2022,CNTT,Công nghệ,0
0,VBB-VietBank,2022,Kỹ thuật công nghệ,Công nghệ,0
0,VBB-VietBank,2022,Công nghệ ngân hàng,Công nghệ,0
0,VBB-VietBank,2022,Công nghệ 4.0,Công nghệ,0
0,VBB-VietBank,2022,Công nghệ tài chính,Công nghệ,0
0,VBB-VietBank,2022,Ứng dụng công nghệ,Công nghệ,0
0,VBB-VietBank,2022,Chuyển đổi số,Công nghệ,3
0,VBB-VietBank,2022,phát triển công nghệ,Công nghệ,0
0,VBB-VietBank,2022,Công nghệ Fintech,Công nghệ,0
0,VBB-VietBank,2022,hệ thống công nghệ,Công nghệ,0
0,VBB-VietBank,2022,digital transformation,Công nghệ,0
0,VBB-VietBank,2022,trí tuệ nhân tạo,Artificial intelligence,0
0,VBB-VietBank,2022,trợ lý ảo,Artificial intelligence,0
0,VBB-VietBank,2022,Artificial intelligence,Artificial intelligence,0
0,VBB-VietBank,2022,eKYC,Face recognition,1
0,VBB-VietBank,2022,xác thực khuôn mặt,Face recognition,0
0,VBB-VietBank,2022,Face recognition,Face recognition,0
0,VBB-VietBank,2022,nhận diện giọng nói,Voice recognition,0
0,VBB-VietBank,2022,Voice recognition,Voice recognition,0
0,VBB-VietBank,2022,xác thực vân tay,Fingerprint recognition,0
0,VBB-VietBank,2022,Fingerprint recognition,Fingerprint recognition,0
0,VBB-VietBank,2022,công nghệ chuỗi khối,Blockchain,0
0,VBB-VietBank,2022,blockchain,Blockchain,0
0,VBB-VietBank,2022,điện toán đám mây,Cloud computing,0
0,VBB-VietBank,2022,Hệ thống PKI,Cloud computing,0
0,VBB-VietBank,2022,Cloud computing,Cloud computing,0
0,VBB-VietBank,2022,Cloud service,Cloud service,0
0,VBB-VietBank,2022,Salesforce Financial Services Cloud,Cloud service,0
0,VBB-VietBank,2022,dịch vụ đám mây,Cloud service,0
0,VBB-VietBank,2022,đám mây,Cloud service,0
0,VBB-VietBank,2022,Cloud platform,Cloud platform,0
0,VBB-VietBank,2022,nền tảng trải nghiệm đám mây,Cloud platform,0
0,VBB-VietBank,2022,Adobe Experience Cloud,Cloud platform,0
0,VBB-VietBank,2022,Dữ liệu (Data),Big Data,0
0,VBB-VietBank,2022,Dữ liệu lớn,Big Data,0
0,VBB-VietBank,2022,Big Data,Big Data,0
0,VBB-VietBank,2022,Khoa học dữ liệu,Data mining,0
0,VBB-VietBank,2022,Máy học,Data mining,0
0,VBB-VietBank,2022,Data mining,Data mining,0
0,VBB-VietBank,2022,Mô hình dữ liệu,Data visualization,0
0,VBB-VietBank,2022,Dữ liệu và phân tích,Data visualization,0
0,VBB-VietBank,2022,phân tích dữ liệu,Data visualization,0
0,VBB-VietBank,2022,Data visualization,Data visualization,0
0,VBB-VietBank,2022,Thanh toán trực tuyến,Online Payment,0
0,VBB-VietBank,2022,Chuyển tiền trên kênh số,Online Payment,0
0,VBB-VietBank,2022,Thanh toán không tiếp xúc,Online Payment,0
0,VBB-VietBank,2022,Thanh toán điện tử,Online Payment,0
0,VBB-VietBank,2022,Thanh toán ECOM,Online Payment,0
0,VBB-VietBank,2022,Giao dịch công nghệ số,Online Payment,0
0,VBB-VietBank,2022,Giao dịch trực tuyến,Online Payment,0
0,VBB-VietBank,2022,Dịch vụ trực tuyến,Online Payment,0
0,VBB-VietBank,2022,Online Payment,Online Payment,0
0,VBB-VietBank,2022,Chuyển tiền qua số điện thoại,Mobile Payment,0
0,VBB-VietBank,2022,Mobile Payment,Mobile Payment,0
0,VBB-VietBank,2022,SMS,Mobile Payment,2
0,VBB-VietBank,2022,QR Code,QR code payment,0
0,VBB-VietBank,2022,mã QR,QR code payment,1
0,VBB-VietBank,2022,VietQR,QR code payment,0
0,VBB-VietBank,2022,Không dùng tiền mặt,Digital wallet,0
0,VBB-VietBank,2022,Ví điện tử,Digital wallet,0
0,VBB-VietBank,2022,Tài khoản trực tuyến,Digital wallet,0
0,VBB-VietBank,2022,Digital wallet,Digital wallet,0
0,VBB-VietBank,2022,Tiền gửi có kỳ hạn trực tuyến,Online loan,0
