,bank,year,keyword,segment,count
0,LPB-LienvietPost,2012,TPBank Mobile,Bank app,0
0,LPB-LienvietPost,2012,Agribank E-Mobile Banking,Bank app,0
0,LPB-LienvietPost,2012,MSB mBank,Bank app,0
0,LPB-LienvietPost,2012,Eximbank EDigi,Bank app,0
0,LPB-LienvietPost,2012,Sacombank Pay,Bank app,0
0,LPB-LienvietPost,2012,SCB Mobile Banking,Bank app,0
0,LPB-LienvietPost,2012,BAOVIET Smart,Bank app,0
0,LPB-LienvietPost,2012,BAC A BANK Mobile Banking,Bank app,0
0,LPB-LienvietPost,2012,NCB iziMobile,Bank app,0
0,LPB-LienvietPost,2012,Liên Việt 24h,Bank app,0
0,LPB-LienvietPost,2020,Nền tảng công nghệ,Nền tảng,1
0,LPB-LienvietPost,2020,Nền tảng số,Nền tảng,1
0,LPB-LienvietPost,2020,Hạ tầng công nghệ,Nền tảng,1
0,LPB-LienvietPost,2020,Công nghệ thông tin,Công nghệ,11
0,LPB-LienvietPost,2020,CNTT,Công nghệ,8
0,LPB-LienvietPost,2020,Kỹ thuật công nghệ,Công nghệ,0
0,LPB-LienvietPost,2020,Công nghệ ngân hàng,Công nghệ,0
0,LPB-LienvietPost,2020,Công nghệ 4.0,Công nghệ,0
0,LPB-LienvietPost,2020,Công nghệ tài chính,Công nghệ,0
0,LPB-LienvietPost,2020,Ứng dụng công nghệ,Công nghệ,5
0,LPB-LienvietPost,2020,Chuyển đổi số,Công nghệ,12
0,LPB-LienvietPost,2020,phát triển công nghệ,Công nghệ,1
0,LPB-LienvietPost,2020,Công nghệ Fintech,Công nghệ,0
0,LPB-LienvietPost,2020,hệ thống công nghệ,Công nghệ,1
0,LPB-LienvietPost,2020,digital transformation,Công nghệ,0
0,LPB-LienvietPost,2020,trí tuệ nhân tạo,Artificial intelligence,0
0,LPB-LienvietPost,2020,trợ lý ảo,Artificial intelligence,0
0,LPB-LienvietPost,2020,Artificial intelligence,Artificial intelligence,0
0,LPB-LienvietPost,2020,eKYC,Face recognition,3
0,LPB-LienvietPost,2020,xác thực khuôn mặt,Face recognition,0
0,LPB-LienvietPost,2020,Face recognition,Face recognition,0
0,LPB-LienvietPost,2020,nhận diện giọng nói,Voice recognition,0
0,LPB-LienvietPost,2020,Voice recognition,Voice recognition,0
0,LPB-LienvietPost,2020,xác thực vân tay,Fingerprint recognition,0
0,LPB-LienvietPost,2020,Fingerprint recognition,Fingerprint recognition,0
0,LPB-LienvietPost,2020,công nghệ chuỗi khối,Blockchain,0
0,LPB-LienvietPost,2020,blockchain,Blockchain,0
0,LPB-LienvietPost,2020,điện toán đám mây,Cloud computing,0
0,LPB-LienvietPost,2020,Hệ thống PKI,Cloud computing,0
0,LPB-LienvietPost,2020,Cloud computing,Cloud computing,0
0,LPB-LienvietPost,2020,Cloud service,Cloud service,0
0,LPB-LienvietPost,2020,Salesforce Financial Services Cloud,Cloud service,0
0,LPB-LienvietPost,2020,dịch vụ đám mây,Cloud service,0
0,LPB-LienvietPost,2020,đám mây,Cloud service,0
0,LPB-LienvietPost,2020,Cloud platform,Cloud platform,0
0,LPB-LienvietPost,2020,nền tảng trải nghiệm đám mây,Cloud platform,0
0,LPB-LienvietPost,2020,Adobe Experience Cloud,Cloud platform,0
0,LPB-LienvietPost,2020,Dữ liệu (Data),Big Data,0
0,LPB-LienvietPost,2020,Dữ liệu lớn,Big Data,0
0,LPB-LienvietPost,2020,Big Data,Big Data,1
0,LPB-LienvietPost,2020,Khoa học dữ liệu,Data mining,0
0,LPB-LienvietPost,2020,Máy học,Data mining,0
0,LPB-LienvietPost,2020,Data mining,Data mining,0
0,LPB-LienvietPost,2020,Mô hình dữ liệu,Data visualization,0
0,LPB-LienvietPost,2020,Dữ liệu và phân tích,Data visualization,0
0,LPB-LienvietPost,2020,phân tích dữ liệu,Data visualization,0
0,LPB-LienvietPost,2020,Data visualization,Data visualization,0
0,LPB-LienvietPost,2020,Thanh toán trực tuyến,Online Payment,0
0,LPB-LienvietPost,2020,Chuyển tiền trên kênh số,Online Payment,0
0,LPB-LienvietPost,2020,Thanh toán không tiếp xúc,Online Payment,0
0,LPB-LienvietPost,2020,Thanh toán điện tử,Online Payment,0
0,LPB-LienvietPost,2020,Thanh toán ECOM,Online Payment,0
0,LPB-LienvietPost,2020,Giao dịch công nghệ số,Online Payment,0
0,LPB-LienvietPost,2020,Giao dịch trực tuyến,Online Payment,0
