,bank,year,keyword,segment,count
0,SCB,2012,nền tảng trải nghiệm đám mây,Cloud platform,0
0,SCB,2012,Adobe Experience Cloud,Cloud platform,0
0,SCB,2012,Dữ liệu (Data),Big Data,0
0,SCB,2012,Dữ liệu lớn,Big Data,0
0,SCB,2012,Big Data,Big Data,0
0,SCB,2012,Khoa học dữ liệu,Data mining,0
0,SCB,2012,Máy học,Data mining,0
0,SCB,2012,Data mining,Data mining,0
0,SCB,2012,Mô hình dữ liệu,Data visualization,0
0,SCB,2012,Dữ liệu và phân tích,Data visualization,0
0,SCB,2012,phân tích dữ liệu,Data visualization,0
0,SCB,2012,Data visualization,Data visualization,0
0,SCB,2012,Thanh toán trực tuyến,Online Payment,1
0,SCB,2012,Chuyển tiền trên kênh số,Online Payment,0
0,SCB,2012,Thanh toán không tiếp xúc,Online Payment,0
0,SCB,2012,Thanh toán điện tử,Online Payment,0
0,SCB,2012,Thanh toán ECOM,Online Payment,0
0,SCB,2012,Giao dịch công nghệ số,Online Payment,0
0,SCB,2012,Giao dịch trực tuyến,Online Payment,0
0,SCB,2012,Dịch vụ trực tuyến,Online Payment,0
0,SCB,2012,Online Payment,Online Payment,0
0,SCB,2012,Chuyển tiền qua số điện thoại,Mobile Payment,0
0,SCB,2012,Mobile Payment,Mobile Payment,0
0,SCB,2012,SMS,Mobile Payment,1
0,SCB,2012,QR Code,QR code payment,0
0,SCB,2012,mã QR,QR code payment,0
0,SCB,2012,VietQR,QR code payment,0
0,SCB,2012,Không dùng tiền mặt,Digital wallet,0
0,SCB,2012,Ví điện tử,Digital wallet,0
0,SCB,2012,Tài khoản trực tuyến,Digital wallet,0
0,SCB,2012,Digital wallet,Digital wallet,0
0,SCB,2012,Tiền gửi có kỳ hạn trực tuyến,Online loan,0
0,SCB,2012,vay mua nhà trực tuyến,Online loan,0
0,SCB,2012,Online loan,Online loan,0
0,SCB,2012,Ngoại hối online,Online finance,0
0,SCB,2012,Online finance,Online finance,0
0,SCB,2012,smart contract,Lending platform,0
0,SCB,2012,Hợp đồng thông minh,Lending platform,0
0,SCB,2012,e-form,Lending platform,0
0,SCB,2012,Lending platform,Lending platform,0
0,SCB,2012,Inclusive credit,Inclusive credit,0
0,SCB,2012,Customer portrait,Customer portrait,0
0,SCB,2012,Mô hình hành vi,Customer portrait,0
0,SCB,2012,mô hình VaR,Predictive model,1
0,SCB,2012,Mô hình đo lường rủi ro,Predictive model,0
0,SCB,2012,Mô hình cảnh báo nợ,Predictive model,0
0,SCB,2012,Predictive model,Predictive model,0
0,SCB,2012,Mô hình xếp hạng tín dụng,Credit evaluation,0
0,SCB,2012,Credit evaluation,Credit evaluation,0
0,SCB,2012,Anti-fraud,Anti-fraud,0
0,SCB,2012,chống gian lận,Anti-fraud,0
0,SCB,2012,Ngân hàng trực tuyến,Online banking,1
0,SCB,2012,Online banking,Online banking,0
0,SCB,2012,ngân hàng di động,Mobile banking,0
0,SCB,2012,Ngân hàng trên điện thoại di động,Mobile banking,0
0,SCB,2012,SHB Mobile,Mobile banking,0
0,SCB,2012,Mobile banking,Mobile banking,0
0,SCB,2012,E-Mobile,Mobile banking,0
0,SCB,2012,One Time Password,Mobile banking,0
0,SCB,2012,OTP,Mobile banking,0
0,SCB,2012,Ebanking,Internet banking,31
0,SCB,2012,Internet banking,Internet banking,3
0,SCB,2012,SHB Mobile Banking,Bank app,0
0,SCB,2012,ứng dụng di động,Bank app,0
0,SCB,2012,ứng dụng ngân hàng số,Bank app,0
0,SCB,2012,ứng dụng trên điện thoại,Bank app,0
0,SCB,2012,ACB ONE,Bank app,0
0,SCB,2012,VPBank NEO,Bank app,0
0,SCB,2012,MyVIB,Bank app,0
0,SCB,2012,HDBank,Bank app,0
0,SCB,2012,BIDV Smart Banking,Bank app,0
0,SCB,2012,MB Bank,Bank app,0
0,SCB,2012,Vietinbank iPay,Bank app,0
0,SCB,2012,TPBank Mobile,Bank app,0
0,SCB,2012,Agribank E-Mobile Banking,Bank app,0
0,SCB,2012,MSB mBank,Bank app,0
0,SCB,2012,Eximbank EDigi,Bank app,0
0,SCB,2012,Sacombank Pay,Bank app,0
0,SCB,2012,SCB Mobile Banking,Bank app,0
0,SCB,2012,BAOVIET Smart,Bank app,0
0,SCB,2012,BAC A BANK Mobile Banking,Bank app,0
0,SCB,2012,NCB iziMobile,Bank app,0
0,SCB,2012,Liên Việt 24h,Bank app,0
